group	size	x	y	tooltip
2	2.30124801743937	6.279	64.8883170731707	United Arab Emirates population 382599
3	3.69393901610071	7.695	36.3613170731707	Afghanistan population 11966352
5	2.7435436324182	4.598	67.813512195122	Albania population 2309029
6	2.80497308234616	2.942	70.4793170731707	Armenia population 2705584
7	3.23115035776616	7.208	38.2276585365854	Angola population 6323057
8	4.45917822784242	3.203	67.4204390243903	Argentina population 25215328
10	3.34859560496509	1.97	70.9792682926829	Austria population 7586115
11	3.79123739642527	2.491	71.8468292682927	Australia population 13380000
12	2.11585996683293	2.613	70.1396585365854	Aruba population 60239
13	3.14776028086943	4.216	65.2341707317073	Azerbaijan population 5496061
14	2.95939965466297	2.581	67.6176341463415	Bosnia and Herzegovina population 3841440
15	2.23928390008882	2.648	69.5960243902439	Barbados population 242971
16	6.09031257484333	6.91	39.2523658536585	Bangladesh population 69751017
17	3.52832939640389	1.95	71.6353658536586	Belgium population 9741720
18	3.19229299433834	6.75	42.5334146341463	Burkina Faso population 5930487
19	3.4376882750529	2.15	71.3421951219512	Bulgaria population 8620967
20	2.2377194284469	5.895	66.1482682926829	Bahrain population 239860
21	2.92652135559566	6.817	44.2140243902439	Burundi population 3582950
22	2.86313939744129	6.86	41.8348780487805	Benin population 3110074
24	2.18571298745295	5.687	68.2850731707317	Brunei Darussalam population 148058
25	3.04310287962834	6.415	47.0406341463415	Bolivia population 4540197
26	6.976060484211	4.679	59.7048048780488	Brazil population 103228641
27	2.20617626113004	3.411	66.5426585365854	Bahamas, The population 181489
28	2.27718883172617	6.685	42.115756097561	Bhutan population 324583
29	2.42736868285049	6.546	56.246	Botswana population 765685
30	3.48982639297605	2.25	70.8809268292683	Belarus population 9257272
31	2.1731711773156	6.285	67.4126097560976	Belize population 129294
32	4.31622233907334	1.89	73.1626829268293	Canada population 22369407.5086437
33	4.28084071820597	6.301	44.7539024390244	Congo, Dem. Rep. population 21691346
34	2.68095030181998	5.952	44.2975609756098	Central African Republic population 1937323
35	2.59148805294702	6.312	54.409	Congo, Rep. population 1462767
36	3.22961893753643	1.823	73.9409756097561	Switzerland population 6307347
37	3.20140407265659	7.94	46.3500487804878	Cote d'Ivoire population 6021405
38	3.55622319800621	3.504	64.0492682926829	Chile population 10100403
39	3.3254297266088	6.315	47.6740487804878	Cameroon population 7327874
40	16.5449761519816	4.544	64.9957804878049	China population 881940000
41	4.34480301155817	4.956	61.8756341463415	Colombia population 22924755
42	2.68419524045112	4.278	68.4140975609756	Costa Rica population 1955790
43	3.48328265525856	3.4	71.0925365853659	Cuba population 9176167
44	2.26722429533823	6.855	55.0495365853659	Cape Verde population 301968
46	2.38900099863807	2.44	73.2575853658537	Cyprus population 635109
47	3.54243302127896	2.31	70.0226829268293	Czech Republic population 9922266
48	6.35133144524715	1.54	70.9418048780488	Germany population 78936666
49	2.21138726865908	7.156	44.5749756097561	Djibouti population 190560
50	3.0970888122113	1.917	73.6821951219512	Denmark population 5021861
52	3.08473037102344	5.58	60.0717804878049	Dominican Republic population 4909454
53	3.95488115164679	7.384	54.8353170731707	Algeria population 15935594
54	3.25375853320399	5.955	59.0947804878049	Ecuador population 6557257
55	2.5798527829744	2.13	69.9939268292683	Estonia population 1405951
56	5.04800391215096	5.692	52.0190975609756	Egypt, Arab Rep. population 38733784
57	2.68193576410977	6.52	44.2003414634146	Eritrea population 1942922
58	4.8897746338945	2.823	72.6107317073171	Spain population 34817071
59	4.72805201554397	6.794	43.7659268292683	Ethiopia population 31029594
60	3.0574782870053	1.504	71.2236585365854	Finland population 4666081
61	2.3631689940474	4.178	60.9075609756098	Fiji population 554109
62	2.11796304639092	6.842	62.9755853658537	Micronesia, Fed. Sts. population 62289
64	5.57348900392992	2.28	72.3560975609756	France population 53239101
65	2.38536613379912	4.919	49.0828780487805	Gabon population 623375
66	5.67134351099416	2.036	72.3243902439024	United Kingdom population 56194527
67	2.14640025236114	4.512	64.4183902439025	Grenada population 93629
68	3.00829205811202	2.563	68.0801463414634	Georgia population 4242500
69	3.49729577085131	6.888	50.277756097561	Ghana population 9350286
71	2.34129143506515	6.226	41.2051707317073	Gambia, The population 489860
72	3.01642615473899	6.865	35.2765609756098	Guinea population 4311157
73	2.24882042365188	5.677	40.6473902439024	Equatorial Guinea population 262376
74	3.46316722220952	2.28	72.4914634146341	Greece population 8929086
75	3.18687986490178	6.203	54.0957317073171	Guatemala population 5876798
76	2.14294651165077	4.028	67.0530487804878	Guam population 89463
77	2.42039245597422	6.984	37.9318048780488	Guinea-Bissau population 741030
78	2.42011019795053	4.828	57.3602926829268	Guyana population 740041
79	3.00818499538062	3.177	72.109756097561	Hong Kong SAR, China population 4241600
80	2.83748434151846	7.025	54.3095365853659	Honduras population 2928191
81	3.03592662435821	1.972	69.6368780487805	Croatia population 4478000
82	3.09081005243727	5.616	48.1459268292683	Haiti population 4964593
83	3.58157719308389	1.93	69.5180487804878	Hungary population 10432055
84	7.43179313926033	5.251	53.7088048780488	Indonesia population 123002081
85	2.85978068145502	3.74	71.2808780487805	Ireland population 3085950
86	2.88616660370001	3.698	71.6934146341464	Israel population 3278000
88	13.9386917040552	5.238	51.1985609756098	India population 594192969
89	3.62046600265421	7.153	59.7204634146342	Iraq population 10951169
90	4.72783873329907	6.24	53.6267073170732	Iran, Islamic Rep. population 31024743
91	2.22339110785784	2.948	74.4509756097561	Iceland population 212317
92	5.62389172753774	2.339	72.0263414634146	Italy population 54751406
93	2.16997934300205	1.822	72.0501707317073	Channel Islands population 124728
94	2.68424604718136	4.899	68.9351463414634	Jamaica population 1956079.84
95	2.63588553377046	7.75	63.0123902439024	Jordan population 1689934.4
96	7.0916273241496	2.14	73.7575609756097	Japan population 108079000
97	3.73337467304117	7.963	53.945756097561	Kenya population 12529800
98	2.86919416290822	4.615	61.0663414634146	Kyrgyz Republic population 3153800
99	3.33943011432912	5.302	38.2119268292683	Cambodia population 7483408
101	2.24132426963134	7.055	49.1326829268293	Comoros population 247059
103	3.93436805608276	3.556	63.8760243902439	Korea, Dem. Rep. population 15603005
104	4.8529244555002	4.1	63.229512195122	Korea, Rep. population 33934872
106	2.47057035935111	6.805	68.0461219512195	Kuwait population 927403
108	3.81591035969021	3.385	62.9765609756098	Kazakhstan population 13751019
109	2.83559581073337	6.006	46.7140731707317	Lao PDR population 2915019
110	2.77069538561264	4.737	65.5111951219512	Lebanon population 2480426
111	2.15732455708408	5.686	65.1370243902439	St. Lucia population 107461
113	3.7717807087545	3.97	64.4704146341464	Sri Lanka population 13091000
114	2.60672594721928	6.815	42.4340487804878	Liberia population 1538882
115	2.51221745512065	5.794	49.8653902439024	Lesotho population 1098033
116	2.88161243675793	2.25	71.3321951219512	Lithuania population 3244438
117	2.28816410901395	1.52	70.2614146341463	Luxembourg population 350450
118	2.76057453727699	1.98	69.8134146341464	Latvia population 2415819
119	2.74832551958256	7.569	53.3880243902439	Libya population 2338769
120	4.01663930932425	6.765	53.0134634146342	Morocco population 16958091
122	2.87211460881829	2.523	65.0038048780488	Moldova population 3175000
123	2.36023270954994	2.37	70.8292926829268	Montenegro population 545254
125	3.30945392342245	7.3	45.0855853658537	Madagascar population 7152391
127	2.64480353012881	2.789	67.7919756097561	Macedonia, FYR population 1737547
128	3.19824873036985	6.937	36.0956341463415	Mali population 5989840
129	4.64683373723664	5.781	51.9601219512195	Myanmar population 29209751
130	2.57806102742933	7.413	56.8453902439024	Mongolia population 1397302
131	2.24418299077836	1.683	70.8113902439025	Macao SAR, China population 252845
133	2.54748435587008	6.739	48.9883658536585	Mauritania population 1253831
134	2.26732840392516	1.649	71.218512195122	Malta population 302200
135	2.45433911579111	3.444	63.6997317073171	Mauritius population 864819.2
136	2.17072002792084	7.103	46.3516585365854	Maldives population 125780
137	3.09109215722951	7.425	41.8341707317073	Malawi population 4967159
138	5.73485978457536	6.364	62.8285853658537	Mexico population 58155590
139	3.67796788526523	4.463	65.0780731707317	Malaysia population 11741849
140	3.55695134226951	6.572	40.6478780487805	Mozambique population 10109853
141	2.45199569780249	6.613	54.1233902439024	Namibia population 855965
142	2.16969827899765	3.9271428571	64.3756097560976	New Caledonia population 124330
143	3.07210409538661	7.526	38.5650243902439	Niger population 4795926
144	5.80264168805613	6.625	43.5619756097561	Nigeria population 60285455
145	2.79379232118449	6.748	55.4423414634146	Nicaragua population 2631065
146	3.7952051163145	1.904	74.1439024390244	Netherlands population 13439322
147	2.97418394112388	2.238	74.4421951219512	Norway population 3960612
148	3.71902002117886	6.029	44.2330975609756	Nepal population 12323203
149	2.84221263274377	2.696	71.6682926829268	New Zealand population 2961300
150	2.43880734013551	7.504	53.5567804878049	Oman population 806989
151	2.63036844022611	4.84	66.7094390243903	Panama population 1660811
152	3.85491349133427	5.952	55.6955365853659	Peru population 14347881
153	2.168296608078	5.055	61.1305853658537	French Polynesia population 122355
154	2.79703726887628	6.077	48.0148292682927	Papua New Guinea population 2652585
155	5.05951919499703	5.931	61.5205609756098	Philippines population 39026975
156	5.92719999841638	6.608	54.9284146341464	Pakistan population 64299241
157	4.82853452651005	2.255	70.6634146341463	Poland population 33357200
158	2.83037870271015	2.955	72.5028780487805	Puerto Rico population 2878785.6
160	3.43870011020944	2.655	67.5243902439024	Portugal population 8633100
162	2.79995306456268	5.347	65.8907317073171	Paraguay population 2671997
163	2.18184158422984	6.703	67.9721707317073	Qatar population 142126
164	4.23539253808927	2.439	69.0056097560976	Romania population 20835681
166	7.6411997821917	2.01	68.2946341463415	Russian Federation population 132668517.068296
167	2.99147010350736	8.203	44.5419268292683	Rwanda population 4102262
168	3.26298023144093	7.307	55.4173902439024	Saudi Arabia population 6654009
169	2.2049305069688	7.216	55.9770975609756	Solomon Islands population 179354
171	3.64488494096436	6.597	46.3695853658537	Sudan population 11283574
172	3.39667099165333	1.88	74.8673170731707	Sweden population 8136312
173	2.72458568422691	2.8	69.4784634146342	Singapore population 2193000
174	2.65020305661181	2.214	69.4048780487805	Slovenia population 1766697
175	3.0546803833932	2.56	70.1289756097561	Slovak Republic population 4641445
176	2.80351158428237	5.747	37.1046829268293	Sierra Leone population 2695784
178	3.05290838249569	7.474	42.1732195121951	Senegal population 4625876
179	2.91918835245298	7.106	41.0290731707317	Somalia population 3526527
180	2.29609907409765	5.148	64.1153902439025	Suriname population 369777
182	2.13391409438418	6.525	56.8208048780488	Sao Tome and Principe population 79038
183	2.98367630974595	5.914	57.1433658536585	El Salvador population 4038088
185	3.30156061800284	7.537	62.1331219512195	Syrian Arab Republic population 7066474
186	2.34016360311226	6.858	49.7592195121951	Swaziland population 486656
188	2.96777418845123	6.617	44.9415853658537	Chad population 3908721
189	2.74262619864816	7.222	46.8437804878049	Togo population 2303345
190	5.10370598585214	4.953	61.1890243902439	Thailand population 40162277
191	2.87724930042148	6.713	60.8569268292683	Tajikistan population 3212446
192	2.39459023822145	5.298	38.082512195122	Timor-Leste population 653367
193	2.75570510415544	6.071	59.1188048780488	Turkmenistan population 2385039
194	3.13648683690503	6.182	55.988	Tunisia population 5388708.88571644
195	2.14085201213735	5.512	65.7950487804878	Tonga population 86985
196	4.99373491249004	5.241	51.6254634146342	Turkey population 37366922
197	2.48443320426588	3.426	65.7741463414634	Trinidad and Tobago population 982594
199	3.89553843145137	6.758	47.9453902439024	Tanzania population 14983047
200	5.39756409411156	2.04	69.4647073170732	Ukraine population 48126562
201	3.56821155377812	7.103	50.9521463414634	Uganda population 10256553
202	9.1295950473614	1.879	71.3560975609756	United States population 211909000
203	2.82218040463857	2.988	68.7970487804878	Uruguay population 2822306
204	3.77653807249235	6.237	63.5549024390244	Uzbekistan population 13161372
205	2.14630764764744	5.417	61.8438048780488	St. Vincent and the Grenadines population 93516
206	3.68792517491299	4.905	65.2896341463415	Venezuela, RB population 11881567
207	2.1382868601072	4.92	68.9904878048781	Virgin Islands (U.S.) population 84000
208	5.31531357192475	7.008	48.2728780487805	Vietnam population 45824811.2
209	2.14650835365526	6.067	54.2792682926829	Vanuatu population 93761
210	2.18624889722725	5.578	56.469512195122	Samoa population 148889
211	3.23813165022505	7.782	41.7361951219512	Yemen, Rep. population 6394922
212	4.38190849488843	5.408	53.8720487804878	South Africa population 23655907.712
213	3.05431436776047	7.447	50.3410243902439	Zambia population 4638227
214	3.17586839627148	7.417	55.9379756097561	Zimbabwe population 5768337
