group	size	x	y	tooltip
2	3.27664073049752	1.839	76.2213414634146	United Arab Emirates population 6798635
3	4.54624883470542	6.559	47.5385609756098	Afghanistan population 27032197
5	2.86958154775854	1.59	76.620756097561	Albania population 3156608
6	2.84451480269252	1.734	73.4959512195122	Armenia population 2977488
7	4.09575562418353	5.736	49.8474146341463	Angola population 18314441
8	5.08486044387754	2.24	75.2925365853659	Argentina population 39676083
10	3.41379368974351	1.41	80.2341463414634	Austria population 8336926
11	4.26464235894719	1.933	81.3951219512195	Australia population 21384400
12	2.15258993090518	1.726	74.6819268292683	Aruba population 101344
13	3.44952199539387	1.9	70.0678536585366	Azerbaijan population 8763400
14	2.96186688895055	1.168	75.1063170731708	Bosnia and Herzegovina population 3861201
15	2.25606962057358	1.529	76.2643658536585	Barbados population 277634
16	7.957650962242	2.356	68.0040243902439	Bangladesh population 147969967
17	3.60251447052358	1.86	79.6804878048781	Belgium population 10709973
18	3.87496383879172	5.924	53.9824878048781	Burkina Faso population 14659646
19	3.35190707161416	1.48	72.9634146341463	Bulgaria population 7623395
20	2.51641621928415	2.595	74.7586097560976	Bahrain population 1116038
21	3.43796463434026	4.597	48.975756097561	Burundi population 8624280
22	3.46678647884845	5.44	54.7873170731707	Benin population 8973293
23	2.12095897685328	1.7592	79.0038048780488	Bermuda population 65273
24	2.30339746711024	2.092	77.6622926829268	Brunei Darussalam population 388017
25	3.53556182753123	3.475	65.6580975609756	Bolivia population 9834098
26	8.7822690793104	1.895	72.4270975609756	Brazil population 191765567
27	2.28728455003433	1.888	74.6938536585366	Bahamas, The population 348340
28	2.40621025969073	2.565	66.1513170731707	Bhutan population 692159
29	2.68031521802399	2.857	52.6636829268293	Botswana population 1933719
30	3.51146424840478	1.42	70.4560975609756	Belarus population 9528000
31	2.26341620662707	2.905	75.377512195122	Belize population 293544
32	4.82685749556627	1.6808	80.9648780487805	Canada population 33317662
33	5.75610485797532	6.023	47.5573414634146	Congo, Dem. Rep. population 58819038
34	3.00144164010441	4.81	46.163243902439	Central African Republic population 4185106
35	2.96376957694777	4.625	56.1593414634146	Congo, Rep. population 3876475
36	3.35405943383081	1.48	81.9926829268293	Switzerland population 7647675
37	4.09264020618743	4.605	53.3777073170732	Cote d'Ivoire population 18260044
38	4.00907740006899	1.889	78.6472195121951	Chile population 16831184
39	4.16780415800775	4.631	50.1609024390244	Cameroon population 19595026
40	19.8256443345692	1.629	72.8353414634146	China population 1324655000
41	5.29092095323066	2.43	72.9843414634147	Colombia population 45153037
42	3.04224176478448	1.91	78.9462682926829	Costa Rica population 4532711
43	3.64581661808751	1.499	78.5474146341463	Cuba population 11296355
44	2.33945592196936	2.561	73.3361951219512	Cape Verde population 484651
45	2.18128206118991	2.2	75.309756097561	Curacao population 141279
46	2.50728959365467	1.493	79.0214634146342	Cyprus population 1077089
47	3.58099171568095	1.5	76.9756097560976	Czech Republic population 10424336
48	6.43794088567064	1.38	79.7365853658537	Germany population 82110097
49	2.43965684338743	3.912	56.7550975609756	Djibouti population 810100
50	3.14750527746398	1.89	78.4463414634146	Denmark population 5493621
52	3.52899434392615	2.651	72.7289512195122	Dominican Republic population 9750195
53	4.92723067018016	2.348	72.3890487804878	Algeria population 35725377
54	3.86552108225408	2.557	75.1505853658537	Ecuador population 14512402
55	2.56618991635352	1.65	73.7707317073171	Estonia population 1340675
56	6.25532249857595	2.825	72.4754390243903	Egypt, Arab Rep. population 75491922
57	3.1357958096755	4.636	60.1052682926829	Eritrea population 5382163
58	5.30556413623965	1.46	81.1756097560976	Spain population 45555716
59	6.45173212325448	4.522	57.4507804878049	Ethiopia population 82621190
60	3.12851105480764	1.85	79.5682926829268	Finland population 5313399
61	2.44876969328154	2.735	68.9715853658537	Fiji population 843851
62	2.1550492177238	3.587	68.402756097561	Micronesia, Fed. Sts. population 104498
64	5.9293939645042	2.01	80.8682926829268	France population 64371099
65	2.59554503843994	3.33	61.3811219512195	Gabon population 1482843
66	5.83743190852054	1.96	79.6	United Kingdom population 61393521
67	2.15461076735824	2.28	75.3217804878049	Grenada population 103932
68	3.02496221023667	1.568	72.9846341463415	Georgia population 4383800
69	4.3542664612261	4.297	62.8735121951219	Ghana population 23110139
70	2.11173796096033	2.247	68.3541463414634	Greenland population 56328
71	2.61440707675005	5.056	57.524243902439	Gambia, The population 1577984
72	3.57265073795895	5.407	52.687243902439	Guinea population 10314678
73	2.39600354091065	5.328	50.2472195121951	Equatorial Guinea population 658025
74	3.64149230080344	1.51	79.9390243902439	Greece population 11237094
75	3.80911363946118	4.122	70.3523414634146	Guatemala population 13648307
76	2.19222001836368	2.524	75.6378048780488	Guam population 158310
77	2.60236881598435	5.222	46.9592682926829	Guinea-Bissau population 1516920
78	2.430181028328	2.315	68.7992195121951	Guyana population 775739
79	3.29150749905629	1.064	82.3756097560976	Hong Kong SAR, China population 6957800
80	3.32493139291849	3.269	72.2409756097561	Honduras population 7322368
81	3.03081975692376	1.47	75.9121951219512	Croatia population 4434000
82	3.52018809440929	3.497	61.0747804878049	Haiti population 9638255
83	3.55142085772595	1.35	73.7024390243903	Hungary population 10038188
84	9.4959096673958	2.176	68.0751463414634	Indonesia population 234243489
85	3.02985159708903	2.1	79.1414634146342	Ireland population 4425683
86	3.32370258788346	2.96	80.9512195121951	Israel population 7308800
88	18.7861182233958	2.702	64.4229512195122	India population 1174662334
89	4.6567876358396	4.828	67.8711219512195	Iraq population 29429829
90	6.1747656970917	1.731	72.2196585365854	Iran, Islamic Rep. population 72660887
91	2.27406927646086	2.15	81.609756097561	Iceland population 317414
92	5.78831799077569	1.42	81.3853658536585	Italy population 59832179
93	2.19174772031282	1.431	79.4984634146342	Channel Islands population 157554
94	2.80222924379997	2.385	72.3230243902439	Jamaica population 2687200
95	3.17766864504999	3.8	73.0162195121951	Jordan population 5786000
96	7.53464269728881	1.37	82.5875609756098	Japan population 127704040
97	5.04955756158672	4.792	55.1242195121951	Kenya population 38773277
98	3.12907430677545	2.8	68.4512195121951	Kyrgyz Republic population 5318700
99	3.82838369518808	2.745	61.5808536585366	Cambodia population 13940518
101	2.3933493566227	5.051	59.8611707317073	Comoros population 649291
103	4.41133419964543	2.038	68.3740975609756	Korea, Dem. Rep. population 24243894
104	5.42647427454155	1.192	79.8326829268293	Korea, Rep. population 48949000
105	2.64663051681323	2.3835	69.4180487804878	Kosovo population 1747383
106	2.80447184913443	2.29	74.3782926829268	Kuwait population 2702221
108	3.93876497367636	2.7	67.0219512195122	Kazakhstan population 15673999
109	3.21309957445114	2.946	66.1843902439024	Lao PDR population 6139127
110	3.0015592433861	1.84	72.0473170731707	Lebanon population 4186088
111	2.20101871846337	2.014	73.9991951219512	St. Lucia population 172734
113	4.20194738614076	2.346	74.433268292683	Sri Lanka population 20217000
114	2.93806938200495	5.382	54.7276341463415	Liberia population 3672714
115	2.68706569783811	3.333	45.9315609756098	Lesotho population 1972199
116	2.89694426629256	1.47	71.8121951219512	Lithuania population 3358115
117	2.34086594455094	1.61	80.5390243902439	Luxembourg population 488650
118	2.73658536695361	1.44	72.419512195122	Latvia population 2266094
119	3.18688057227766	2.689	74.329	Libya population 5876805
120	4.72477716814705	2.345	71.307756097561	Morocco population 30955151
122	2.92485732879322	1.486	68.3486585365854	Moldova population 3570107
123	2.38389242908782	1.684	74.0335853658537	Montenegro population 618649
125	4.18608241153296	4.793	65.8355365853659	Madagascar population 19926785
127	2.70881629421897	1.448	74.2671219512195	Macedonia, FYR population 2098769
128	3.77497967166145	6.426	50.1201951219512	Mali population 13138299
129	5.50349214257381	2.053	63.781756097561	Myanmar population 51174018
130	2.79405956455323	2.466	67.486243902439	Mongolia population 2632834
131	2.34744495278962	1.015	80.2673414634146	Macao SAR, China population 507528
133	2.90556595867809	4.671	57.668243902439	Mauritania population 3422901
134	2.31271553479605	1.44	79.4317073170732	Malta population 411950
135	2.55070270708293	1.58	72.5707317073171	Mauritius population 1268565
136	2.27250204875547	1.863	75.8110487804878	Maldives population 313843
137	3.84130606745689	5.996	51.8047317073171	Malawi population 14138207
138	7.25139911472681	2.391	76.2363414634146	Mexico population 114968039
139	4.55894240108153	2.702	73.5681219512195	Malaysia population 27302348
140	4.33649007569744	5.075	48.8983902439024	Mozambique population 22762525
141	2.71084762323976	3.36	60.9893414634146	Namibia population 2110791
142	2.23979161868468	2.166	76.1151219512195	New Caledonia population 243985
143	3.87996264673436	7.165	53.3344878048781	Niger population 14737895
144	8.02248741697806	5.595	50.4797317073171	Nigeria population 151208080
145	3.16558733778388	2.715	73.1108048780488	Nicaragua population 5667983
146	3.98592484345242	1.77	80.2512195121951	Netherlands population 16445593
147	3.06899917340508	1.96	80.5926829268293	Norway population 4768212
148	4.50910557789939	2.913	67.5279512195122	Nepal population 26249412
149	3.01142752302164	2.19	80.3512195121951	New Zealand population 4268900
150	2.78809947137277	2.442	72.9986097560976	Oman population 2593523
151	2.92269856361019	2.546	75.6293170731707	Panama population 3553480
152	4.62023109728643	2.576	73.3057073170732	Peru population 28625628
153	2.24906180304805	2.145	74.6910975609756	French Polynesia population 262877
154	3.25314805294996	4.067	61.7011707317073	Papua New Guinea population 6550877
155	6.65585555960767	3.255	67.9889268292683	Philippines population 90371287
156	8.32932984137451	3.579	64.7219512195122	Pakistan population 167008083
157	5.02398354371212	1.39	75.5439024390244	Poland population 38125759
158	2.94927331489912	1.6516	78.5589268292683	Puerto Rico population 3760866
159	2.92829804280841	4.598	72.272756097561	West Bank and Gaza population 3596688
160	3.5959476729065	1.37	78.5243902439025	Portugal population 10622413
162	3.22264034265931	3.059	71.8617073170732	Paraguay population 6236005
