group	size	x	y	tooltip
2	2.58417295124687	4.973	70.9336341463415	United Arab Emirates population 1426915
3	3.6433431360958	7.871	41.0848780487805	Afghanistan population 11262439
5	2.8703559380025	3.747	71.6373658536586	Albania population 3162225
6	2.90206393588001	2.519	69.0312195121951	Armenia population 3396511
7	3.49492218501825	7.206	40.8905609756098	Angola population 9320678
8	4.71778389316548	3.073	70.7537073170732	Argentina population 30796481
10	3.34714329929705	1.47	74.2229268292683	Austria population 7569794
11	3.95995499798179	1.868	75.8707317073171	Australia population 16018400
12	2.11832344122763	2.32	73.1793658536585	Aruba population 62644
13	3.27488597355173	2.9	65.5413414634147	Azerbaijan population 6779970
14	3.02676935839747	1.925	71.6509268292683	Bosnia and Herzegovina population 4399257
15	2.24545918860062	1.806	73.6034634146341	Barbados population 255450
16	6.81990124188197	5.328	57.4232195121951	Bangladesh population 96851505
17	3.53772582843138	1.54	74.7317073170732	Belgium population 9861823
18	3.37890021949933	6.996	48.1284390243902	Burkina Faso population 7930690
19	3.46554943638442	1.99	71.7307317073171	Bulgaria population 8958171
20	2.32087100512777	4.249	71.7397073170732	Bahrain population 433491
21	3.08762212358601	6.485	48.0869512195122	Burundi population 4935642
22	3.02854254684769	6.942	47.0637804878049	Benin population 4414450
24	2.23238874508642	3.755	72.5384390243903	Brunei Darussalam population 229413
25	3.2175714090665	5.074	56.3630731707317	Bolivia population 6184440
26	7.77473163871193	3.308	64.8164878048781	Brazil population 139023394
27	2.23735335607877	2.789	69.2039024390244	Bahamas, The population 239135
28	2.33936369133002	6.225	49.9257073170732	Bhutan population 484390
29	2.54085163704849	5.393	63.3241951219512	Botswana population 1223738
30	3.5517928235433	2.09	71.549512195122	Belarus population 10043000
31	2.19910810209455	4.886	71.7636097560976	Belize population 169547
32	4.50693388316359	1.675	76.44	Canada population 26204000
33	4.7211081932081	6.907	46.4681707317073	Congo, Dem. Rep. population 30871855
34	2.80178269255814	5.927	49.7393170731707	Central African Republic population 2684214
35	2.71543885343431	5.684	57.101756097561	Congo, Rep. population 2138090
36	3.2486653117244	1.52	76.8990243902439	Switzerland population 6504124
37	3.590015799953	6.834	53.1439756097561	Cote d'Ivoire population 10543628
38	3.71961304655106	2.656	72.2789512195122	Chile population 12331704
39	3.60187704687372	6.22	53.054	Cameroon population 10701458
40	17.9968010627882	2.629	68.5594878048781	China population 1066790000
41	4.71432384701912	3.347	67.7796341463415	Colombia population 30718127
42	2.81492991779762	3.427	74.8857804878049	Costa Rica population 2772823
43	3.56262897068642	1.836	74.3513414634146	Cuba population 10183690
44	2.28188023428664	5.784	63.1733170731707	Cape Verde population 335517
46	2.41212587667183	2.456	75.8459268292683	Cyprus population 712340
47	3.57475036829893	1.94	70.9973170731707	Czech Republic population 10342227
48	6.31767754896041	1.43	74.4533170731707	Germany population 77720436
49	2.32769525080884	6.481	50.328	Djibouti population 451942
50	3.10782366446096	1.48	74.579756097561	Denmark population 5120534
52	3.26415914373094	3.783	65.6355365853659	Dominican Republic population 6666429
53	4.37603376416632	5.686	64.5879512195122	Algeria population 23539383
54	3.48415795198768	4.201	66.6697804878049	Ecuador population 9186995
55	2.60698445984688	2.17	70.0853658536585	Estonia population 1540190
56	5.51616978832725	4.947	59.571	Egypt, Arab Rep. population 51545011
57	2.83746157034398	6.386	45.4498048780488	Eritrea population 2928032
58	5.04019606110026	1.6	76.5104878048781	Spain population 38535617
59	5.17774117683812	7.04	44.9641219512195	Ethiopia population 42100969
60	3.08569190383452	1.6	74.56	Finland population 4918154
61	2.41391267563609	3.568	64.6297073170732	Fiji population 718493
62	2.14166965494479	5.446	65.7455853658537	Micronesia, Fed. Sts. population 87948
64	5.70259346872549	1.85	75.6	France population 57155165
65	2.45005151719106	5.185	59.6776585365854	Gabon population 848654
66	5.68721466438948	1.78	74.9292682926829	United Kingdom population 56681396
67	2.15164535616576	4.2	66.5171951219512	Grenada population 100146
68	3.06182680896889	2.269	69.880512195122	Georgia population 4704500
69	3.7727021884104	6.035	54.9205609756098	Ghana population 13104616
71	2.42762483443668	6.194	52.0128292682927	Gambia, The population 766598
72	3.11765704699378	6.908	41.7607317073171	Guinea population 5211764
73	2.278773165426	5.866	45.1081463414634	Equatorial Guinea population 328255
74	3.54592412126026	1.615	76.016	Greece population 9967213
75	3.39431526667703	5.837	60.1651951219512	Guatemala population 8108903
76	2.16605604952169	3.092	71.0755365853659	Guam population 119232
77	2.47147660206681	6.743	42.0841951219512	Guinea-Bissau population 930962
78	2.42156142312887	2.836	60.5988048780488	Guyana population 745133
79	3.15073868436389	1.367	76.6853658536585	Hong Kong SAR, China population 5524600
80	3.0229349815784	5.554	64.0883902439025	Honduras population 4366493
81	3.06380168472991	1.76	71.4190243902439	Croatia population 4722000
82	3.25148916433747	5.921	53.3497317073171	Haiti population 6533556
83	3.59656011921467	1.83	69.1734146341463	Hungary population 10630564
84	8.30586445290913	3.606	60.4311951219512	Indonesia population 165772077
85	2.92090430108848	2.45	73.8488048780488	Ireland population 3539690
86	3.01499061083884	3.034	74.9560975609756	Israel population 4299000
88	15.8436610143644	4.216	57.3173658536585	India population 798941802
89	3.95522488460949	6.201	59.9601951219512	Iraq population 15941197
90	5.44364029690654	6.017	53.3405609756098	Iran, Islamic Rep. population 49440637
91	2.23938863630239	1.93	77.9907317073171	Iceland population 243180
92	5.68444088066174	1.34	75.8107317073171	Italy population 56596155
93	2.17723275228812	1.441	74.5877317073171	Channel Islands population 135227
94	2.74784950869139	3.224	71.0263170731707	Jamaica population 2335800
95	2.81067674718564	6.676	69.3221707317073	Jordan population 2744000
