group	size	x	y	tooltip
2	2.85142622392544	2.645	74.6159024390244	United Arab Emirates population 3026352
3	4.22246085554594	7.73	45.2928536585366	Afghanistan population 20595360
5	2.88980641834612	2.241	74.2387317073171	Albania population 3304948
6	2.85840523609739	1.688	70.9894390243903	Armenia population 3076098
7	3.82736086473822	6.826	45.2049268292683	Angola population 13924930
8	4.97509335250785	2.477	73.7179756097561	Argentina population 36903067
10	3.38591707156601	1.36	78.0268292682927	Austria population 8011566
11	4.14320854753625	1.756	79.2341463414634	Australia population 19153000
12	2.14411222703821	1.874	73.7200975609756	Aruba population 90858
13	3.38911833333211	2	66.7572195121951	Azerbaijan population 8048600
14	2.95851464559463	1.412	74.3081219512195	Bosnia and Herzegovina population 3834364
15	2.25113019012898	1.558	75.4082682926829	Barbados population 267190
16	7.63513171947023	3.121	64.7303414634146	Bangladesh population 132383265
17	3.56780592174263	1.67	77.7219512195122	Belgium population 10251250
18	3.66836910137311	6.259	50.2012926829268	Burkina Faso population 11607944
19	3.39957568684895	1.26	71.6634146341463	Bulgaria population 8170172
20	2.39908509221546	2.72	73.7960731707317	Bahrain population 668239
21	3.26490436649291	5.772	46.0050487804878	Burundi population 6674286
22	3.29072401978143	5.966	52.5653414634146	Benin population 6949366
23	2.11749849479734	1.74	77.8648780487805	Bermuda population 61833
24	2.28029463525688	2.401	76.2323414634146	Brunei Darussalam population 331801
25	3.42716360770314	4.14	62.9636829268293	Bolivia population 8495271
26	8.46983243534533	2.364	70.1382682926829	Brazil population 174504898
27	2.26532843910558	2.071	71.6282926829268	Bahamas, The population 297759
28	2.36653553898426	3.676	61.3742195121951	Bhutan population 564350
29	2.64811119755765	3.414	50.765487804878	Botswana population 1755375
30	3.54885300497445	1.31	68.9121951219512	Belarus population 10005000
31	2.23707577485216	3.594	73.5311219512195	Belize population 238586
32	4.71660176265067	1.49	79.2365853658537	Canada population 30769700
33	5.3557458110302	6.911	45.6519024390244	Congo, Dem. Rep. population 46949244
34	2.93366100228733	5.446	43.6633658536585	Central African Republic population 3638316
35	2.86537785951997	4.932	54.1458536585366	Congo, Rep. population 3126204
36	3.31236878484902	1.5	79.6804878048781	Switzerland population 7184250
37	3.9668536838662	5.162	50.1608780487805	Cote d'Ivoire population 16131332
38	3.92513202008176	2.087	76.8217317073171	Chile population 15454402
39	3.95439756557236	4.983	50.0712682926829	Cameroon population 15927713
40	19.4034136466651	1.737	71.2417073170732	China population 1262645000
41	5.09347587089925	2.64	71.0009756097561	Colombia population 39897984
42	2.97035684095221	2.414	77.8040731707317	Costa Rica population 3929588
43	3.63426630772041	1.626	76.3658048780488	Cuba population 11138416
44	2.32419362319584	3.701	69.4482682926829	Cape Verde population 442426
46	2.47460159462855	1.714	77.9569268292683	Cyprus population 943287
47	3.56941712174983	1.14	74.9682926829268	Czech Republic population 10272322
48	6.44068074717461	1.38	77.9268292682927	Germany population 82211508
49	2.41518396376498	4.801	53.8503414634146	Djibouti population 722887
50	3.13129397733609	1.77	76.5926829268293	Denmark population 5339616
52	3.44122563318801	2.892	70.8937073170732	Dominican Republic population 8663421
53	4.75821470016308	2.622	70.0241707317073	Algeria population 31719449
54	3.73360209786454	2.953	73.3920487804878	Ecuador population 12533087
55	2.57226661774745	1.38	70.4170731707317	Estonia population 1369515
56	5.98291828763205	3.315	69.0826585365854	Egypt, Arab Rep. population 66136590
57	2.97156245343156	5.43	56.0249756097561	Eritrea population 3939348
58	5.10760419264811	1.23	78.9658536585366	Spain population 40263216
59	5.97953238960704	6.08	51.7101219512195	Ethiopia population 66024199
60	3.1138350140092	1.73	77.4658536585366	Finland population 5176209
61	2.44007866350337	3.09	67.6073170731707	Fiji population 811647
62	2.15730092201381	4.3	67.2737317073171	Micronesia, Fed. Sts. population 107430
64	5.82232278939482	1.89	78.9585365853659	France population 60911057
65	2.54124821822377	4.051	59.6909512195122	Gabon population 1225527
66	5.75845033574287	1.64	77.7414634146342	United Kingdom population 58892514
67	2.15280671824105	2.582	73.4077073170732	Grenada population 101620
68	3.02899139848569	1.625	71.5630975609756	Georgia population 4418300
69	4.12477558583764	4.656	58.382243902439	Ghana population 18825034
70	2.11160048220897	2.308	65.9268292682927	Greenland population 56200
71	2.54198695952604	5.64	55.156756097561	Gambia, The population 1228863
72	3.44809214311748	5.991	48.1101463414634	Guinea population 8746128
73	2.35110244658778	5.773	48.6902682926829	Equatorial Guinea population 518179
74	3.61797074146372	1.26	77.8878048780488	Greece population 10917482
75	3.63908583449172	4.801	67.7441707317073	Guatemala population 11204183
76	2.19035025990711	2.878	74.1653902439025	Guam population 155328
77	2.55173559698413	5.846	44.8848780487805	Guinea-Bissau population 1273312
78	2.42137303511147	2.466	64.4482682926829	Guyana population 744471
79	3.26402355834954	1.035	80.8780487804878	Hong Kong SAR, China population 6665000
80	3.22259678634908	3.997	70.3820243902439	Honduras population 6235561
81	3.02988851489895	1.39	72.8078048780488	Croatia population 4426000
82	3.43411885871892	4.303	58.3720731707317	Haiti population 8578234
83	3.5647215061395	1.32	71.2463414634146	Hungary population 10210971
84	9.07945037489574	2.453	65.6463658536586	Indonesia population 208938698
85	2.95485512428217	1.89	76.5407317073171	Ireland population 3805174
86	3.22782804305535	2.95	78.9536585365854	Israel population 6289000
88	17.8118271102307	3.122	61.6138780487805	India population 1042261758
89	4.38921113351701	5.252	70.7434878048781	Iraq population 23801156
90	5.97612080383566	2.206	69.7396585365854	Iran, Islamic Rep. population 65911052
91	2.25773678880701	2.08	79.6536585365854	Iceland population 281205
92	5.69568543893698	1.26	79.4268292682927	Italy population 56942108
93	2.1861432562475	1.402	77.5241219512195	Channel Islands population 148725
94	2.78747000992912	2.603	70.4722926829268	Jamaica population 2589388.55137656
95	3.07222423938769	3.931	72.0750243902439	Jordan population 4797000
96	7.51653900104863	1.359	81.0760975609756	Japan population 126870000
97	4.73926009843446	5.012	52.2996341463415	Kenya population 31285050
98	3.08350744090695	2.4	68.5585365853659	Kyrgyz Republic population 4898400
99	3.71200539343944	3.822	57.4641463414634	Cambodia population 12222871
101	2.35454704110466	5.315	57.8764390243903	Comoros population 528312
103	4.34047523754309	2.11	65.110512195122	Korea, Dem. Rep. population 22840225
104	5.35784516870604	1.47	75.8554878048781	Korea, Rep. population 47008000
105	2.63778124830292	2.9543	67.9512195121951	Kosovo population 1700000
106	2.67545173738291	2.626	73.7524878048781	Kuwait population 1906231
108	3.88923717601899	1.8	65.5170731707317	Kazakhstan population 14883626
109	3.13644167927868	4.227	61.3946097560976	Lao PDR population 5388281
110	2.88037928210127	2.387	70.6370243902439	Lebanon population 3235380
111	2.19136891727251	2	71.1056097560976	St. Lucia population 156949
113	4.14035257319138	2.191	70.9842926829268	Sri Lanka population 19102000
114	2.83228057048788	5.849	45.9643170731707	Liberia population 2891968
115	2.66651312580657	4.089	47.5863658536585	Lesotho population 1856225
116	2.91565970750381	1.39	72.0195121951219	Lithuania population 3499536
117	2.32191927121156	1.76	77.8731707317073	Luxembourg population 436300
118	2.75378957531841	1.24	70.3146341463415	Latvia population 2372985
119	3.11383242966725	3.079	72.530756097561	Libya population 5176185
120	4.62409592677981	2.703	68.6751463414634	Morocco population 28710123
122	2.93382438984909	1.568	66.8882682926829	Moldova population 3639588
123	2.38155680027082	1.818	74.8900243902439	Montenegro population 611196
125	3.94314070829995	5.548	59.6745609756098	Madagascar population 15744811
127	2.70087992065195	1.67	72.9102195121951	Macedonia, FYR population 2052129
128	3.56851928376078	6.808	47.2432682926829	Mali population 10260577
129	5.40906832275204	2.427	61.8557073170732	Myanmar population 48453000
130	2.7576759455046	2.207	63.1213414634146	Mongolia population 2397473
131	2.32027837319943	0.933	78.5369756097561	Macao SAR, China population 431907
133	2.80534712709595	5.219	56.9947804878049	Mauritania population 2708095
134	2.30075551484215	1.7	78.2	Malta population 381363
135	2.53261376044469	1.99	71.6634146341463	Mauritius population 1186873
136	2.25376936501021	2.919	70.3741219512195	Maldives population 272745
137	3.64764774595984	6.095	46.0297317073171	Malawi population 11321496
138	6.99158197614017	2.581	74.274243902439	Mexico population 103873607
139	4.37003783269525	3.065	72.1424878048781	Malaysia population 23420751
140	4.09353263197	5.693	47.2378536585366	Mozambique population 18275618
141	2.67398022634904	4.033	57.6577317073171	Namibia population 1897953
142	2.22388076070889	2.63	74.919512195122	New Caledonia population 213230
143	3.62332386252878	7.503	48.2666829268293	Niger population 10989815
144	7.42902451022915	5.883	46.2723170731707	Nigeria population 122876727
145	3.10569811377524	3.251	69.6457317073171	Nicaragua population 5100920
146	3.95426254999825	1.72	77.9878048780488	Netherlands population 15925513
147	3.037426845415	1.85	78.6341463414634	Norway population 4490967
148	4.3580353270506	4.091	61.5216341463415	Nepal population 23184177
149	2.96143023758581	2	78.6365853658537	New Zealand population 3857700
150	2.72450870999387	3.636	74.1102926829268	Oman population 2192535
151	2.85542593006865	2.749	74.2231463414634	Panama population 3054812
152	4.49715872985141	2.929	70.4762682926829	Peru population 26000080
153	2.23640753986564	2.455	72.4210731707317	French Polynesia population 237267
154	3.13548562374891	4.507	58.7957804878049	Papua New Guinea population 5379226
155	6.31577185619706	3.814	66.7951463414634	Philippines population 77651848
156	7.87375553861022	4.474	63.1619512195122	Pakistan population 143832014
157	5.03696488895988	1.35	73.7487804878049	Poland population 38453757
158	2.95553706459256	2.0485	76.6892682926829	Puerto Rico population 3810605
159	2.83661917462172	5.376	70.9079512195122	West Bank and Gaza population 2922153
160	3.56586051976655	1.55	76.3146341463415	Portugal population 10225836
161	2.05977434153654	1.535	70.4936585365854	Palau population 19174
162	3.13242113970736	3.677	70.0451951219512	Paraguay population 5350253
163	2.37601465398567	3.149	76.3031951219512	Qatar population 593693
164	4.32002847684029	1.31	71.1634146341463	Romania population 22442971
165	3.3423762917392	1.48	72.1365853658537	Serbia population 7516346
166	7.92399675035182	1.21	65.3414634146341	Russian Federation population 146303000
167	3.41876059953791	5.786	46.5102195121951	Rwanda population 8395577
168	4.19799939469878	3.99	71.4920975609756	Saudi Arabia population 20144584
169	2.31286354586018	4.72	62.834243902439	Solomon Islands population 412336
171	4.5788993292175	5.34	56.9740975609756	Sudan population 27729798
172	3.4584892296662	1.54	79.6439024390244	Sweden population 8872109
174	2.68997931876942	1.26	75.4121951219512	Slovenia population 1988925
175	3.1364880098454	1.3	73.0512195121951	Slovak Republic population 5388720
176	2.99599556440313	5.726	39.7315853658537	Sierra Leone population 4139757
178	3.53771459676313	5.546	55.739243902439	Senegal population 9861679
179	3.33062653585846	6.507	48.2957804878049	Somalia population 7385416
180	2.33304145395207	2.726	67.9352926829268	Suriname population 466668
182	2.18005325014085	4.577	62.3577804878049	Sao Tome and Principe population 139428
183	3.19513714283013	2.934	69.7016097560976	El Salvador population 5958794
185	3.98142731717946	3.633	74.0188780487805	Syrian Arab Republic population 16371208
186	2.50411765814018	4.222	48.6702195121951	Swaziland population 1063715
188	3.41075546708054	6.605	48.4889756097561	Chad population 8301151
189	3.07977646949078	5.102	54.8094878048781	Togo population 4864753
190	5.86700568845106	1.71	72.5152195121951	Thailand population 62343379
191	3.21774004042691	4.03	63.7553414634146	Tajikistan population 6186152
192	2.45136371468499	7.112	56.190243902439	Timor-Leste population 853585
193	3.03863451550213	2.837	63.895512195122	Turkmenistan population 4501419
194	3.51427864583044	2.08	72.6	Tunisia population 9563500
195	2.14990804545933	4.25	70.7609268292683	Tonga population 97962
196	5.89269777293535	2.383	69.4468780487805	Turkey population 63174483
197	2.55057528403182	1.638	68.3956097560976	Trinidad and Tobago population 1267980
199	4.85652254288645	5.688	50.3732926829268	Tanzania population 34020512
200	5.4344055594561	1.1	67.8634146341464	Ukraine population 49175847.6425165
201	4.41291276386141	6.865	46.0916829268293	Uganda population 24275641
202	10.2269874093903	2.056	76.6365853658537	United States population 282162411
203	2.89194609228893	2.19	74.8868292682927	Uruguay population 3320841
204	4.43146954968909	2.58	66.9508780487805	Uzbekistan population 24650400
205	2.15765659754837	2.379	70.3769512195122	St. Vincent and the Grenadines population 107897
206	4.4194608275761	2.83	73.269512195122	Venezuela, RB population 24407553
207	2.15822007357901	2.0553	77.5756585367561	Virgin Islands (U.S.) population 108639
208	6.31518965582436	1.983	71.945512195122	Vietnam population 77630900
209	2.20824210098556	4.45	67.555	Vanuatu population 185058
210	2.202137315794	4.564	69.4878048780488	Samoa population 174614
211	4.04993460098062	6.489	59.6898536585366	Yemen, Rep. population 17522537
212	5.24862637971904	2.866	54.7763170731707	South Africa population 4.4e+07
213	3.55626774401886	6.134	41.9298780487805	Zambia population 10100981
214	3.7315644505297	3.862	44.6179756097561	Zimbabwe population 12503652
