group	size	x	y	tooltip
2	3.36030248109137	1.787	76.3995609756098	United Arab Emirates population 7718319
3	4.57789405573635	6.422	47.8988536585366	Afghanistan population 27708187
5	2.86883324854545	1.558	76.7610975609756	Albania population 3151185
6	2.84318813887989	1.735	73.6455365853658	Armenia population 2968154
7	4.13050385088405	5.584	50.2510243902439	Angola population 18926650
8	5.09834394825603	2.226	75.4640975609756	Argentina population 40023641
10	3.41619662399955	1.39	80.0829268292683	Austria population 8365275
11	4.28543488387171	1.857	81.5439024390244	Australia population 21778800
12	2.15264808525322	1.713	74.8315365853659	Aruba population 101418
13	3.46465483022537	1.82	70.3176341463415	Azerbaijan population 8947243
14	2.96089940360396	1.157	75.2504390243902	Bosnia and Herzegovina population 3853446
15	2.25671143759545	1.541	76.4130243902439	Barbados population 279006
16	7.98843625192323	2.296	68.3252195121951	Bangladesh population 149503100
17	3.60897694497484	1.84	79.9829268292683	Belgium population 10796493
18	3.9026068981632	5.887	54.4660487804878	Burkina Faso population 15094967
19	3.34850808914871	1.57	73.4121951219512	Bulgaria population 7585131
20	2.53366345682208	2.572	74.8897804878049	Bahrain population 1191539
21	3.4629705583444	4.465	49.4212682926829	Burundi population 8926687
22	3.48849835234601	5.366	55.1734146341463	Benin population 9240783
23	2.12131838084008	1.7616	79.1461707317073	Bermuda population 65636
24	2.30591037846115	2.066	77.7979268292683	Brunei Darussalam population 394400
25	3.54795493925816	3.407	65.9638536585366	Bolivia population 9993406
26	8.81271218442517	1.857	72.7598048780488	Brazil population 193490922
27	2.28984157334803	1.895	74.9752682926829	Bahamas, The population 354492
28	2.40985018639381	2.476	66.5320487804878	Bhutan population 704542
29	2.68348052436706	2.804	53.0115365853659	Botswana population 1951715
30	3.5097969239533	1.42	70.4073170731707	Belarus population 9507000
31	2.26679666575863	2.845	75.618512195122	Belize population 301016
32	4.84416838316227	1.668	80.6617804878049	Canada population 33726915
33	5.80897049090296	5.897	47.7969268292683	Congo, Dem. Rep. population 60486276
34	3.01111287200481	4.719	46.8837073170732	Central African Republic population 4266247
35	2.97842642682783	4.584	56.558756097561	Congo, Rep. population 3995146
36	3.3625500317138	1.5	82.0439024390244	Switzerland population 7743831
37	4.11211094981993	4.518	54.0559024390244	Cote d'Ivoire population 18601342
38	4.01863892151398	1.876	78.7627073170732	Chile population 16991729
39	4.19578071919851	4.561	50.5829268292683	Cameroon population 20103945
40	19.8700303664369	1.614	73.056512195122	China population 1331260000
41	5.31450852510611	2.403	73.2099756097561	Colombia population 45802561
42	3.05011931844613	1.875	79.0691707317073	Costa Rica population 4601424
43	3.6452678518778	1.481	78.7732195121951	Cuba population 11288826
44	2.33983130005328	2.477	73.5868048780488	Cape Verde population 485714
45	2.18173998089565	2.1	76.1560975609756	Curacao population 141972
46	2.51046296571446	1.485	79.1969512195122	Cyprus population 1090553
47	3.58575192647663	1.49	77.0780487804878	Czech Republic population 10487178
48	6.43232164979027	1.36	79.8365853658537	Germany population 81902307
49	2.44285471206123	3.827	57.1450487804878	Djibouti population 821865
50	3.1505818112604	1.84	78.5975609756098	Denmark population 5523095
52	3.53947525120488	2.615	72.9619756097561	Dominican Republic population 9884265
53	4.95406510557231	2.308	72.622756097561	Algeria population 36383302
54	3.88114439610954	2.517	75.3021951219512	Ecuador population 14756424
55	2.56610432869229	1.62	74.8243902439024	Estonia population 1340271
56	6.29133502878436	2.778	72.7341219512195	Egypt, Arab Rep. population 76775023
57	3.15420309913998	4.543	60.5569268292683	Eritrea population 5557889
58	5.31834321150687	1.39	81.4756097560976	Spain population 45908594
59	6.51106294565421	4.352	58.1181707317073	Ethiopia population 84838032
60	3.13121499043828	1.86	79.719512195122	Finland population 5338871
61	2.45106972706654	2.7	69.1020243902439	Fiji population 852479
62	2.15465032532707	3.517	68.5830487804878	Micronesia, Fed. Sts. population 103983
64	5.93950929470766	2	81.0682926829268	France population 64702921
65	2.60281366620562	3.286	61.8491219512195	Gabon population 1519155
66	5.85045891435874	1.94	80.0512195121951	United Kingdom population 61811027
67	2.15489288140078	2.258	75.4923414634146	Grenada population 104296
68	3.02812849701518	1.563	73.1471463414634	Georgia population 4410900
69	4.38370169584558	4.236	63.3881707317073	Ghana population 23691533
71	2.6241581503492	4.977	57.8382195121951	Gambia, The population 1628332
72	3.59375435815432	5.327	53.1699268292683	Guinea population 10593248
73	2.40166495224281	5.259	50.544756097561	Equatorial Guinea population 676851
74	3.6448255861687	1.52	80.1878048780488	Greece population 11282760
75	3.83156047893789	4.05	70.5846341463415	Guatemala population 13988988
76	2.19241397373908	2.496	75.8167804878049	Guam population 158621
77	2.60909803761111	5.142	47.313243902439	Guinea-Bissau population 1550905
78	2.43166063602066	2.289	69.1978780487805	Guyana population 781055
79	3.29289975602825	1.055	82.7756097560976	Hong Kong SAR, China population 6972800
80	3.33821498120042	3.202	72.532	Honduras population 7469844
81	3.03023782930186	1.5	76.1682926829268	Croatia population 4429000
82	3.53016724181776	3.418	61.4346829268293	Haiti population 9765153
83	3.55021916669795	1.32	73.9048780487805	Hungary population 10022650
84	9.54762749955348	2.145	68.4709756097561	Indonesia population 237486894
85	3.03371775165255	2.07	79.8878048780488	Ireland population 4458942
86	3.33962638154938	2.96	81.4048780487805	Israel population 7485600
88	18.8963322067587	2.663	64.7785609756098	India population 1190138069
89	4.6896913083005	4.766	68.091512195122	Iraq population 30163199
90	6.20003052937989	1.701	72.4920731707317	Iran, Islamic Rep. population 73542954
91	2.27454368529527	2.23	81.7512195121951	Iceland population 318499
92	5.79971492509623	1.41	81.3853658536585	Italy population 60192698
93	2.19237906373371	1.444	79.6755365853659	Channel Islands population 158565
94	2.80348411848565	2.357	72.5946585365854	Jamaica population 2695600
95	3.19073406145097	3.8	73.1509512195122	Jordan population 5915000
96	7.53147611723992	1.37	82.9314634146342	Japan population 127557958
97	5.09063455522624	4.755	55.8393658536585	Kenya population 39824734
98	3.13591586912503	2.9	69.1024390243903	Kyrgyz Republic population 5383300
99	3.8416980250443	2.659	62.0721951219512	Cambodia population 14144225
101	2.39844082838067	4.986	60.2290731707317	Comoros population 666097
103	4.4176910382091	2.032	68.4323902439024	Korea, Dem. Rep. population 24371865
104	5.43462040952527	1.149	80.2973170731707	Korea, Rep. population 49182000
105	2.64923888966761	2.3368	69.6487804878049	Kosovo population 1761474
106	2.82622529997066	2.298	74.4875609756098	Kuwait population 2850102
108	3.96454417595249	2.6	68.4292682926829	Kazakhstan population 16093481
109	3.22577184035757	2.843	66.651512195122	Lao PDR population 6267968
110	3.00881816571927	1.819	72.2297804878049	Lebanon population 4246924
111	2.20248472168394	1.997	74.2380731707317	St. Lucia population 175200
113	4.21460237847896	2.333	74.5666097560976	Sri Lanka population 20450000
114	2.95689610303753	5.312	55.4791951219512	Liberia population 3821440
115	2.69014408928827	3.265	46.6693658536585	Lesotho population 1989873
116	2.89444572048415	1.55	72.9146341463415	Lithuania population 3339456
117	2.34406451610534	1.59	80.6365853658537	Luxembourg population 497783
118	2.73474960685464	1.31	73.0804878048781	Latvia population 2254834
119	3.19569208048778	2.627	74.5455609756098	Libya population 5964325
120	4.73888851331691	2.314	71.5894146341464	Morocco population 31276564
122	2.92427305024418	1.482	68.6114390243903	Moldova population 3565603
123	2.3841294885287	1.669	74.1500731707317	Montenegro population 619408
125	4.21707575119202	4.72	66.1913658536585	Madagascar population 20495695
127	2.70911894586358	1.435	74.4438780487805	Macedonia, FYR population 2100558
128	3.8032028296858	6.361	50.5360487804878	Mali population 13559296
129	5.51601557095768	2.027	64.1995121951219	Myanmar population 51540490
130	2.79998694849715	2.496	67.8641219512195	Mongolia population 2672223
131	2.35227492963187	1.056	80.5210487804878	Macao SAR, China population 521617
133	2.91782379018804	4.602	57.9196341463415	Mauritania population 3516077
134	2.31349736076507	1.43	79.8926829268293	Malta population 413991
135	2.55210937130274	1.5	72.8824390243903	Mauritius population 1275032
136	2.27505041836652	1.802	76.1956585365854	Maldives population 319660
137	3.86943469250313	5.994	52.6809512195122	Malawi population 14573338
138	7.28451939557856	2.356	76.4655609756098	Mexico population 116422752
139	4.58171271867311	2.666	73.7908048780488	Malaysia population 27790324
140	4.36701339639242	4.993	49.2780243902439	Mozambique population 23361025
141	2.71634489547178	3.288	61.6185853658537	Namibia population 2143498
142	2.24058808082239	2.2	76.2839024390244	New Caledonia population 245580
143	3.91567296869895	7.115	53.8158292682927	Niger population 15302948
144	8.10502646465859	5.56	50.9494146341464	Nigeria population 155381020
145	3.17331480627884	2.67	73.4344390243903	Nicaragua population 5743329
146	3.99103939608874	1.79	80.5487804878049	Netherlands population 16530388
147	3.07576724514809	1.98	80.7951219512195	Norway population 4828726
148	4.52319281267219	2.812	68.0016829268293	Nepal population 26544943
149	3.01697388274851	2.14	80.7024390243902	New Zealand population 4315800
150	2.79863662715373	2.376	73.0040975609756	Oman population 2663224
151	2.93077001723376	2.515	75.801243902439	Panama population 3615846
152	4.63432251610762	2.538	73.5430731707317	Peru population 28934303
153	2.25027958488818	2.116	74.8895853658537	French Polynesia population 265412
154	3.26779715560805	4.01	62.0739024390244	Papua New Guinea population 6704829
155	6.69472386397821	3.194	68.225512195122	Philippines population 91886400
156	8.38753922415507	3.504	64.9552195121951	Pakistan population 170093999
157	5.02500840672463	1.4	75.6951219512195	Poland population 38151603
158	2.94668521536272	1.6528	78.8069756097561	Puerto Rico population 3740410
159	2.94183411722489	4.526	72.4569512195122	West Bank and Gaza population 3702218
160	3.59670419892561	1.32	78.7268292682927	Portugal population 10632482
162	3.23351791954876	3.004	72.0683170731707	Paraguay population 6347383
163	2.61168724212745	2.324	77.9391951219512	Qatar population 1564082
164	4.26972101182909	1.38	73.309756097561	Romania population 21480401
165	3.32479007677657	1.44	73.6853658536586	Serbia population 7320807
166	7.83437714414066	1.54	68.6048780487805	Russian Federation population 141910000
167	3.58896241536406	5.398	54.6658048780488	Rwanda population 10529668
168	4.53511632694755	2.887	73.6321707317073	Saudi Arabia population 26796375
169	2.35000246082487	4.296	67.0671219512195	Solomon Islands population 514964
170	2.14111828693691	2.4	73.0341463414634	Seychelles population 87298
171	4.89127284828222	4.481	60.7854634146342	Sudan population 34853178
172	3.49314297351933	1.94	81.3512195121951	Sweden population 9298515
173	3.09333683135708	1.22	81.2414634146342	Singapore population 4987600
174	2.69874443998819	1.53	78.9707317073171	Slovenia population 2039669
175	3.1396359640324	1.41	74.909756097561	Slovak Republic population 5418590
176	3.16282625157148	5.077	46.9576829268293	Sierra Leone population 5641182
178	3.73731610195152	4.9	58.6323170731707	Senegal population 12586827
179	3.49974237578857	6.363	50.6309024390244	Somalia population 9380854
180	2.3517829490925	2.367	70.0670243902439	Suriname population 520173
182	2.20132039904152	3.734	64.1075365853659	Sao Tome and Principe population 173240
183	3.21747723326066	2.283	71.5206097560976	El Salvador population 6183484
184	2.09143676665958	1.7	75.5878048780488	Sint Maarten (Dutch part) population 39133
185	4.24587696912195	2.997	75.5603414634146	Syrian Arab Republic population 21031546
186	2.52963405976619	3.445	47.8888292682927	Swaziland population 1173678
188	3.6512710071794	6.073	48.8853170731707	Chad population 11371325
189	3.21362643485206	4.162	56.2028048780488	Togo population 6144457
190	5.98715432508343	1.598	73.7680243902439	Thailand population 66277335
191	3.33620154579999	3.355	66.9676829268293	Tajikistan population 7447396
192	2.51502850783415	5.7	61.5421707317073	Timor-Leste population 1110071
193	3.09238883505892	2.437	64.7599512195122	Turkmenistan population 4978962
194	3.58214926339767	2.05	74.4512195121951	Tunisia population 10439600
195	2.15431958854151	3.962	72.0138780487805	Tonga population 103557
196	6.13377420784397	2.111	73.4246341463415	Turkey population 71241080
197	2.56233048096846	1.638	69.5360975609756	Trinidad and Tobago population 1322518
199	5.23529875729919	5.559	56.5897317073171	Tanzania population 43639752
200	5.32356936880966	1.46	69.19	Ukraine population 46053300
201	4.80755743999121	6.244	53.0705853658537	Uganda population 32864328
202	10.578256805831	2.0007	78.090243902439	United States population 306771529
203	2.89725390642096	1.9966	76.1112195121951	Uruguay population 3360431
204	4.58064751860225	2.53	67.7647073170732	Uzbekistan population 27767400
205	2.15868180997454	2.088	71.9212682926829	St. Vincent and the Grenadines population 109249
206	4.6182809456014	2.52	73.9424390243903	Venezuela, RB population 28583040
207	2.15674868038254	1.845	79.0698292682927	Virgin Islands (U.S.) population 106707
208	6.54251202977378	1.845	74.6055853658537	Vietnam population 86025000
209	2.23312047220982	3.921	70.5350243902439	Vanuatu population 230833
210	2.20803811206129	3.912	72.0635609756098	Samoa population 184704
211	4.30897277544401	5.307	64.593756097561	Yemen, Rep. population 22229625
212	5.43944129214251	2.495	51.6113170731707	South Africa population 49320150
213	3.75368382635952	6.234	47.8145365853659	Zambia population 12825031
214	3.75804778144752	3.36	48.4504878048781	Zimbabwe population 12888918
