group	size	x	y	tooltip
2	2.38538947556255	5.873	66.7605853658537	United Arab Emirates population 623450
3	3.75243720547575	7.695	37.6909756097561	Afghanistan population 12806810
5	2.77160213962687	4.33	68.5777073170732	Albania population 2486256
6	2.83096280868301	2.646	70.5234634146342	Armenia population 2882831
7	3.27758907142203	7.186	39.305	Angola population 6808733
8	4.52028640234214	3.366	68.2918292682927	Argentina population 26483835
10	3.34676316878063	1.698	71.5512195121951	Austria population 7565525
11	3.83444031418966	2.06	73.0146341463415	Australia population 14033000
12	2.11622172326338	2.472	71.0808292682927	Aruba population 60589
13	3.17797922867983	3.814	65.0822926829268	Azerbaijan population 5789050
14	2.97393459722718	2.336	69.0719024390244	Bosnia and Herzegovina population 3958587
15	2.24106419747022	2.288	70.7031951219512	Barbados population 246536
16	6.21148638191217	6.771	46.4450975609756	Bangladesh population 73944664
17	3.53432168532267	1.725	72.119756097561	Belgium population 9818227
18	3.22636553268297	6.927	44.1902682926829	Burkina Faso population 6274037
19	3.44912468903376	2.24	71.3948780487805	Bulgaria population 8758599
20	2.2589614807986	5.414	67.9806585365854	Bahrain population 283843
21	2.9472257878489	6.813	45.2102926829268	Burundi population 3744678
22	2.89525594383794	6.959	43.5434146341464	Benin population 3345501
24	2.19773475963247	5.132	69.3760975609756	Brunei Darussalam population 167275
25	3.08194374483442	6.043	48.9148536585366	Bolivia population 4884284
26	7.15551804527921	4.418	60.8866585365854	Brazil population 110808302
27	2.21271363271895	3.139	66.8890731707317	Bahamas, The population 192905
28	2.29293442172651	6.685	43.8425365853659	Bhutan population 362006
29	2.45167211607794	6.44	58.186756097561	Botswana population 854746
30	3.50215130191855	2.12	70.7385853658537	Belarus population 9411000
31	2.17717725177813	6.25	68.6743658536585	Belize population 135145
32	4.37495413699671	1.796	73.8560975609756	Canada population 23518000
33	4.37681983686326	6.403	45.2845121951219	Congo, Dem. Rep. population 23554958
34	2.70250219809137	5.951	46.5462926829268	Central African Republic population 2061620
35	2.61874708701196	6.318	55.2491951219512	Congo, Rep. population 1600295
36	3.2291464542273	1.531	74.7853658536585	Switzerland population 6302504
37	3.28763535592265	7.886	48.720756097561	Cote d'Ivoire population 6916167
38	3.59278710790865	3.013	66.2067317073171	Chile population 10580399
39	3.38140387990803	6.387	49.2758048780488	Cameroon population 7959500
40	16.9415243093861	3.439	65.9844390243903	China population 930685000
41	4.42688995111666	4.497	63.1896097560976	Colombia population 24557647
42	2.70993355177575	3.864	70.1623658536585	Costa Rica population 2105377
43	3.51271734150333	2.573	72.345487804878	Cuba population 9543798
44	2.27191735774194	6.714	57.2783170731707	Cape Verde population 312516
46	2.39585237861742	2.323	73.929512195122	Cyprus population 657526
47	3.55819002304824	2.39	70.5326829268293	Czech Republic population 10125939
48	6.33476955682424	1.45	71.6664634146342	Germany population 78336950
49	2.24214342956704	6.909	45.8856585365854	Djibouti population 248710
50	3.10262143778755	1.747	73.739756097561	Denmark population 5072596
52	3.12692966316709	5.014	61.4673658536585	Dominican Republic population 5298530
53	4.03754719566897	7.284	56.8833902439024	Algeria population 17311457
54	3.3063999024168	5.594	60.5871951219512	Ecuador population 7119087
55	2.58676666832567	2.09	69.5699756097561	Estonia population 1439576
56	5.14402903755643	5.545	53.7532682926829	Egypt, Arab Rep. population 41212513
57	2.7125064599104	6.496	44.4174634146342	Eritrea population 2120634
58	4.93598833860439	2.786	73.6426829268293	Spain population 35939437
59	4.81956285515879	6.766	44.3290487804878	Ethiopia population 33145955
60	3.06421470331131	1.72	71.8129268292683	Finland population 4725664
61	2.37404109051204	4.018	61.8309268292683	Fiji population 587522
62	2.120076238052	6.586	64.2395853658537	Micronesia, Fed. Sts. population 64386
64	5.60985174438491	2.01	73.1024390243903	France population 54328016
65	2.39721650536644	5.062	51.5149268292683	Gabon population 662036
66	5.671913244502	1.74	72.7756097560976	United Kingdom population 56211968
67	2.1445916427928	4.385	64.6989024390244	Grenada population 91435
68	3.02010617757176	2.461	68.9301463414634	Georgia population 4342400
69	3.55030334169324	6.771	51.6409756097561	Ghana population 10023738
71	2.35727565071618	6.316	44.016512195122	Gambia, The population 536409
72	3.022974493903	6.895	36.7919512195122	Guinea population 4366830
73	2.23193101901952	5.676	41.5477804878049	Equatorial Guinea population 228527
74	3.48425128758332	2.385	73.2956585365854	Greece population 9188150
75	3.23397395519997	6.203	55.652243902439	Guatemala population 6352074
76	2.14783266976956	3.681	68.1224146341463	Guam population 95386
77	2.4339875045537	6.662	38.6502926829268	Guinea-Bissau population 789452
78	2.42442751194389	4.193	58.3825365853659	Guyana population 755241
79	3.04054748174806	2.48	72.819512195122	Hong Kong SAR, China population 4518000
80	2.87621425672073	6.749	56.3982682926829	Honduras population 3204880
81	3.04192974282705	1.996	70.4553658536585	Croatia population 4530000
82	3.12084462076923	5.699	49.252	Haiti population 5241510
83	3.59416286740835	2.23	69.5731707317073	Hungary population 10598677
84	7.63517743750373	4.927	55.4574146341463	Indonesia population 132385413
85	2.88074295492986	3.312	71.7128780487805	Ireland population 3238050
86	2.92003258248862	3.482	72.9560975609756	Israel population 3533000
88	14.360133478304	4.999	53.2365853658537	India population 636883717
89	3.70114208635884	6.914	60.7581463414634	Iraq population 12068300
90	4.85151751444034	6.23	55.5519512195122	Iran, Islamic Rep. population 33901414
91	2.22755989369589	2.529	76.9721951219512	Iceland population 220154
92	5.65575129746866	2.108	72.9919512195122	Italy population 55718260
93	2.17150927011974	1.596	72.4939024390244	Channel Islands population 126906
94	2.69840910198088	4.286	69.572512195122	Jamaica population 2037715.84
95	2.67011114769617	7.517	64.9226097560976	Jordan population 1876273.6
96	7.20097807621337	1.85	75.4568292682927	Japan population 112771000
97	3.83201933611548	7.769	55.5726829268293	Kenya population 13995996
98	2.89702248859036	4.247	61.7677317073171	Kyrgyz Republic population 3358700
99	3.33470439309292	4.839	32.9853414634146	Cambodia population 7430726
101	2.25242685736185	7.065	50.3863414634146	Comoros population 269912
103	3.9915600959446	2.909	65.8242195121951	Korea, Dem. Rep. population 16539033
104	4.93229155166046	3.05	64.3017073170732	Korea, Rep. population 35849000
106	2.51550242870371	6.23	69.1467804878049	Kuwait population 1112107
108	3.85063158130996	3.175	63.6214390243902	Kazakhstan population 14281735.4634611
109	2.860838410525	6.096	47.5161707317073	Lao PDR population 3093537
110	2.7888355613673	4.445	65.9838536585366	Lebanon population 2598362
111	2.16015790962833	5.347	66.700756097561	St. Lucia population 111211
113	3.8136620549738	3.705	66.0986585365854	Sri Lanka population 13717000
114	2.63325484940291	6.907	43.3923902439024	Liberia population 1676016
115	2.53060624749884	5.736	51.2734146341463	Lesotho population 1177975
116	2.89299741960248	2.17	70.9580487804878	Lithuania population 3328664
118	2.7692253607539	1.93	69.0478048780488	Latvia population 2470989
119	2.79405790305778	7.482	56.0490487804878	Libya population 2632823
120	4.08195454709564	6.234	54.6979268292683	Morocco population 18074081
122	2.88697830476338	2.465	64.9738048780488	Moldova population 3284000
123	2.3650074975529	2.373	72.3666585365854	Montenegro population 559690
125	3.36745397696774	7.129	46.333756097561	Madagascar population 7799642
127	2.65550486871048	2.601	69.0705609756098	Macedonia, FYR population 1795556
128	3.22824000326864	6.982	37.6302195121951	Mali population 6293218
129	4.74337984433485	5.235	53.702243902439	Myanmar population 31379211
130	2.6031536010132	6.968	57.2229756097561	Mongolia population 1520864
131	2.24075502802343	1.44	71.9010487804878	Macao SAR, China population 245915
