colour	key	showSelectedlegendcolour	clickSelects	fill	group
#FB61D7	Malawi	Sub-Saharan Africa	Malawi	#FB61D7	137
#53B400	Mexico	Latin America & Caribbean	Mexico	#53B400	138
#F8766D	Malaysia	East Asia & Pacific	Malaysia	#F8766D	139
#FB61D7	Mozambique	Sub-Saharan Africa	Mozambique	#FB61D7	140
#FB61D7	Namibia	Sub-Saharan Africa	Namibia	#FB61D7	141
#F8766D	New Caledonia	East Asia & Pacific	New Caledonia	#F8766D	142
#FB61D7	Niger	Sub-Saharan Africa	Niger	#FB61D7	143
#FB61D7	Nigeria	Sub-Saharan Africa	Nigeria	#FB61D7	144
#53B400	Nicaragua	Latin America & Caribbean	Nicaragua	#53B400	145
#C49A00	Netherlands	Europe & Central Asia	Netherlands	#C49A00	146
#C49A00	Norway	Europe & Central Asia	Norway	#C49A00	147
#A58AFF	Nepal	South Asia	Nepal	#A58AFF	148
#F8766D	New Zealand	East Asia & Pacific	New Zealand	#F8766D	149
#00C094	Oman	Middle East & North Africa	Oman	#00C094	150
#53B400	Panama	Latin America & Caribbean	Panama	#53B400	151
#53B400	Peru	Latin America & Caribbean	Peru	#53B400	152
#F8766D	French Polynesia	East Asia & Pacific	French Polynesia	#F8766D	153
#F8766D	Papua New Guinea	East Asia & Pacific	Papua New Guinea	#F8766D	154
#F8766D	Philippines	East Asia & Pacific	Philippines	#F8766D	155
#A58AFF	Pakistan	South Asia	Pakistan	#A58AFF	156
#C49A00	Poland	Europe & Central Asia	Poland	#C49A00	157
#53B400	Puerto Rico	Latin America & Caribbean	Puerto Rico	#53B400	158
#00C094	West Bank and Gaza	Middle East & North Africa	West Bank and Gaza	#00C094	159
#C49A00	Portugal	Europe & Central Asia	Portugal	#C49A00	160
#F8766D	Palau	East Asia & Pacific	Palau	#F8766D	161
#53B400	Paraguay	Latin America & Caribbean	Paraguay	#53B400	162
#00C094	Qatar	Middle East & North Africa	Qatar	#00C094	163
#C49A00	Romania	Europe & Central Asia	Romania	#C49A00	164
#C49A00	Serbia	Europe & Central Asia	Serbia	#C49A00	165
#C49A00	Russian Federation	Europe & Central Asia	Russian Federation	#C49A00	166
#FB61D7	Rwanda	Sub-Saharan Africa	Rwanda	#FB61D7	167
#00C094	Saudi Arabia	Middle East & North Africa	Saudi Arabia	#00C094	168
#F8766D	Solomon Islands	East Asia & Pacific	Solomon Islands	#F8766D	169
#FB61D7	Seychelles	Sub-Saharan Africa	Seychelles	#FB61D7	170
#FB61D7	Sudan	Sub-Saharan Africa	Sudan	#FB61D7	171
#C49A00	Sweden	Europe & Central Asia	Sweden	#C49A00	172
#F8766D	Singapore	East Asia & Pacific	Singapore	#F8766D	173
#C49A00	Slovenia	Europe & Central Asia	Slovenia	#C49A00	174
#C49A00	Slovak Republic	Europe & Central Asia	Slovak Republic	#C49A00	175
#FB61D7	Sierra Leone	Sub-Saharan Africa	Sierra Leone	#FB61D7	176
#C49A00	San Marino	Europe & Central Asia	San Marino	#C49A00	177
#FB61D7	Senegal	Sub-Saharan Africa	Senegal	#FB61D7	178
#FB61D7	Somalia	Sub-Saharan Africa	Somalia	#FB61D7	179
#53B400	Suriname	Latin America & Caribbean	Suriname	#53B400	180
#FB61D7	South Sudan	Sub-Saharan Africa	South Sudan	#FB61D7	181
#FB61D7	Sao Tome and Principe	Sub-Saharan Africa	Sao Tome and Principe	#FB61D7	182
#53B400	El Salvador	Latin America & Caribbean	El Salvador	#53B400	183
#53B400	Sint Maarten (Dutch part)	Latin America & Caribbean	Sint Maarten (Dutch part)	#53B400	184
#00C094	Syrian Arab Republic	Middle East & North Africa	Syrian Arab Republic	#00C094	185
#FB61D7	Swaziland	Sub-Saharan Africa	Swaziland	#FB61D7	186
#53B400	Turks and Caicos Islands	Latin America & Caribbean	Turks and Caicos Islands	#53B400	187
#FB61D7	Chad	Sub-Saharan Africa	Chad	#FB61D7	188
#FB61D7	Togo	Sub-Saharan Africa	Togo	#FB61D7	189
#F8766D	Thailand	East Asia & Pacific	Thailand	#F8766D	190
#C49A00	Tajikistan	Europe & Central Asia	Tajikistan	#C49A00	191
#F8766D	Timor-Leste	East Asia & Pacific	Timor-Leste	#F8766D	192
#C49A00	Turkmenistan	Europe & Central Asia	Turkmenistan	#C49A00	193
#00C094	Tunisia	Middle East & North Africa	Tunisia	#00C094	194
#F8766D	Tonga	East Asia & Pacific	Tonga	#F8766D	195
#C49A00	Turkey	Europe & Central Asia	Turkey	#C49A00	196
#53B400	Trinidad and Tobago	Latin America & Caribbean	Trinidad and Tobago	#53B400	197
#F8766D	Tuvalu	East Asia & Pacific	Tuvalu	#F8766D	198
#FB61D7	Tanzania	Sub-Saharan Africa	Tanzania	#FB61D7	199
#C49A00	Ukraine	Europe & Central Asia	Ukraine	#C49A00	200
#FB61D7	Uganda	Sub-Saharan Africa	Uganda	#FB61D7	201
#00B6EB	United States	North America	United States	#00B6EB	202
#53B400	Uruguay	Latin America & Caribbean	Uruguay	#53B400	203
#C49A00	Uzbekistan	Europe & Central Asia	Uzbekistan	#C49A00	204
#53B400	St. Vincent and the Grenadines	Latin America & Caribbean	St. Vincent and the Grenadines	#53B400	205
#53B400	Venezuela, RB	Latin America & Caribbean	Venezuela, RB	#53B400	206
#53B400	Virgin Islands (U.S.)	Latin America & Caribbean	Virgin Islands (U.S.)	#53B400	207
#F8766D	Vietnam	East Asia & Pacific	Vietnam	#F8766D	208
#F8766D	Vanuatu	East Asia & Pacific	Vanuatu	#F8766D	209
#F8766D	Samoa	East Asia & Pacific	Samoa	#F8766D	210
#00C094	Yemen, Rep.	Middle East & North Africa	Yemen, Rep.	#00C094	211
#FB61D7	South Africa	Sub-Saharan Africa	South Africa	#FB61D7	212
#FB61D7	Zambia	Sub-Saharan Africa	Zambia	#FB61D7	213
#FB61D7	Zimbabwe	Sub-Saharan Africa	Zimbabwe	#FB61D7	214
