group	size	x	y	tooltip
2	2.51048810586896	5.344	69.0996097560976	United Arab Emirates population 1090660
3	3.76314821070267	7.763	39.5269512195122	Afghanistan population 12963788
5	2.81882403226958	3.985	70.0004634146341	Albania population 2799345
6	2.8681012983851	2.373	70.6587317073171	Armenia population 3145885
7	3.37639113353471	7.201	40.2902195121951	Angola population 7901870
8	4.61677264393952	3.27	69.7417804878049	Argentina population 28550123
10	3.34704678533541	1.67	72.7580487804878	Austria population 7568710
11	3.89198878005983	1.935	74.6634146341463	Australia population 14927000
12	2.11619901745891	2.377	72.4623414634146	Aruba population 60567
13	3.22518206981531	3.179	64.7164390243903	Azerbaijan population 6261942
14	2.99580323373335	2.05	70.5480731707317	Bosnia and Herzegovina population 4138160
15	2.24263132417041	1.96	72.2553902439025	Barbados population 249696
16	6.50909795505992	6.232	55.8089268292683	Bangladesh population 84764142
17	3.53750422181753	1.67	73.6217073170732	Belgium population 9858982
18	3.29404566473337	7.074	46.7850487804878	Burkina Faso population 6985158
19	3.46005151284518	2.01	71.5719512195122	Bulgaria population 8891117
20	2.29785507892688	4.803	70.2622926829268	Bahrain population 374125
21	3.00797024085137	6.597	47.225512195122	Burundi population 4239795
22	2.95699210968307	7.025	45.5922682926829	Benin population 3822206
24	2.21619400033985	4.103	71.035756097561	Brunei Darussalam population 199128
25	3.14787010299515	5.423	52.738243902439	Bolivia population 5497112
26	7.46719941355384	3.966	62.8944390243903	Brazil population 124610790
27	2.22504241421589	2.994	67.9644634146342	Bahamas, The population 215404
28	2.31733451863539	6.501	46.9834878048781	Bhutan population 424082
29	2.49707582969442	6.125	60.9659512195122	Botswana population 1034324
30	3.52583807691802	2.02	70.3248048780488	Belarus population 9710000
31	2.1853949678197	5.684	70.4672926829268	Belize population 147566
32	4.44375071092487	1.7	75.4785365853659	Canada population 24900000
33	4.54757475113001	6.638	45.9631951219512	Congo, Dem. Rep. population 27060353
34	2.74853032430687	5.955	49.1763414634146	Central African Republic population 2340047
35	2.66538659030778	6.112	56.4593414634146	Congo, Rep. population 1849970
36	3.23416833399977	1.55	75.6931707317073	Switzerland population 6354074
37	3.43845616069125	7.501	51.9206585365854	Cote d'Ivoire population 8630174
38	3.65068212991395	2.656	69.8580731707317	Chile population 11363219
39	3.48530109057626	6.425	51.5930731707317	Cameroon population 9201146
40	17.4405113912224	2.589	67.2629268292683	China population 993885000
41	4.57053176523955	3.867	66.0129756097561	Colombia population 27550172
42	2.76041887660068	3.577	73.0736829268293	Costa Rica population 2414832
43	3.53962817853835	1.843	73.7679024390244	Cuba population 9886228
44	2.268327936688	6.274	60.4391951219512	Cape Verde population 304432
46	2.4053276471645	2.385	74.9424878048781	Cyprus population 689173
47	3.57157602187397	2	70.7221951219512	Czech Republic population 10300591
48	6.33673241993004	1.43	73.0891951219512	Germany population 78407907
49	2.29822370063424	6.65	48.4219024390244	Djibouti population 375041
50	3.10793603792992	1.437	74.2304878048781	Denmark population 5121572
52	3.1954654610623	4.302	63.3813414634146	Dominican Republic population 5962066
53	4.19577995448592	6.757	60.3363170731707	Algeria population 20103931
54	3.39468484451112	4.917	63.5484146341463	Ecuador population 8113200
55	2.5965155663298	2.07	68.9780487804878	Estonia population 1487666
56	5.31968247890988	5.31	56.733512195122	Egypt, Arab Rep. population 45945655
57	2.77276536072501	6.509	43.9432926829268	Eritrea population 2493745
58	5.00866665308659	2.031	75.5285365853659	Spain population 37740556
59	4.94231293076533	6.873	43.7784634146342	Ethiopia population 36094424
60	3.07255574016119	1.65	73.7465853658537	Finland population 4799964
61	2.39385976029459	3.864	63.2964634146341	Fiji population 650966
62	2.13067204584204	6.129	65.2895853658537	Micronesia, Fed. Sts. population 75462
64	5.64875718131121	1.85	74.3	France population 55505282
65	2.42141658242296	5.185	55.6982682926829	Gabon population 744624
66	5.67589153252636	1.81	74.0268292682927	United Kingdom population 56333829
67	2.14387650508364	4.244	65.1253170731707	Grenada population 90575
68	3.03899023992283	2.296	69.3865609756098	Georgia population 4504500
69	3.63277698846076	6.468	53.4090731707317	Ghana population 11118132
71	2.3859999053774	6.324	48.3959756097561	Gambia, The population 625413
72	3.04687656492153	6.948	39.3296829268293	Guinea population 4573076
73	2.23408315710605	5.751	43.1603902439024	Equatorial Guinea population 232708
74	3.52735832799894	2.091	74.6970487804878	Greece population 9729350
75	3.3116606794932	6.152	57.7413170731707	Guatemala population 7176504
76	2.15657948756286	3.173	69.6865365853659	Guam population 106486
77	2.44562907759739	6.423	40.4640487804878	Guinea-Bissau population 832141
78	2.43015955944708	3.432	59.768243902439	Guyana population 775662
79	3.11460907759927	1.933	75.3243902439025	Hong Kong SAR, China population 5183400
80	2.94800697026117	6.19	60.2024878048781	Honduras population 3750850
81	3.05087012322542	1.993	70.3443902439025	Croatia population 4608000
82	3.18132670433337	6.122	51.2982682926829	Haiti population 5821974
83	3.60265479692754	1.877	69.1392682926829	Hungary population 10711848
84	7.97579090590236	4.301	58.0936097560976	Indonesia population 148872395
85	2.90954371604921	3.07	72.7777804878049	Ireland population 3453000
86	2.97361595980339	3.186	74.2609756097561	Israel population 3956000
88	15.097192354185	4.598	55.7375853658537	India population 715105168
89	3.83525413453022	6.481	56.3282195121951	Iraq population 14045450
90	5.11442131319279	6.516	51.1549024390244	Iran, Islamic Rep. population 40440041
91	2.23308033837377	2.33	76.5214634146341	Iceland population 230755
92	5.68136401335367	1.617	74.3539024390244	Italy population 56501675
93	2.17295911137861	1.441	73.5739268292683	Channel Islands population 128988
94	2.71948605383321	3.643	70.6883414634146	Jamaica population 2162300
95	2.73677298903649	7.167	67.4825609756098	Jordan population 2267246.4
96	7.31225511294857	1.74	76.4143902439025	Japan population 117648000
97	4.01325093575316	7.366	58.2286585365854	Kenya population 16901167
98	2.93974102782818	4.046	63.2290487804878	Kyrgyz Republic population 3685800
99	3.2731615819062	6.255	41.9405853658537	Cambodia population 6761653
101	2.27693558859772	7.102	52.3626585365854	Comoros population 323998
103	4.05582391674519	2.756	68.0829024390244	Korea, Dem. Rep. population 17623339
104	5.04757953333952	2.66	66.3092682926829	Korea, Rep. population 38723000
105	2.60931361795885	4.5758	65.9326829268293	Kosovo population 1552000
106	2.58676360222749	5.362	70.7508292682927	Kuwait population 1439561
108	3.90107237534353	2.95	66.7060975609756	Kazakhstan population 15070634.4207033
109	2.8912578860502	6.315	49.1267073170732	Lao PDR population 3315725
110	2.79147536186832	4.021	66.7488536585366	Lebanon population 2615753
111	2.1663165874965	4.512	69.4666097560976	St. Lucia population 119593
113	3.88691053376577	3.319	68.6451219512195	Sri Lanka population 14847000
114	2.6852471014532	6.973	43.7965365853659	Liberia population 1961795
115	2.56619394119726	5.542	54.2439756097561	Lesotho population 1340694
116	2.90689553563263	1.98	70.4607317073171	Lithuania population 3432947
117	2.29424945260404	1.55	72.2386585365854	Luxembourg population 365225
118	2.77674023422786	1.88	68.7863414634146	Latvia population 2519421
119	2.87651329454329	7.308	60.9770487804878	Libya population 3207065
120	4.20509558809434	5.537	58.4294390243902	Morocco population 20274839
122	2.90637338717208	2.51	64.8414634146342	Moldova population 3429000
123	2.37246978072209	2.245	73.7939024390244	Montenegro population 582632
125	3.4676203741237	6.359	48.5883902439024	Madagascar population 8983494
127	2.6763859869552	2.387	69.6719024390244	Macedonia, FYR population 1911496
128	3.28290872096306	7.059	40.1114390243902	Mali population 6865516
129	4.90928193810264	4.449	55.1745853658537	Myanmar population 35288662
130	2.64404603250546	6.031	57.4783658536585	Mongolia population 1733477
131	2.24389449569266	1.777	73.5617073170732	Macao SAR, China population 252258
133	2.6145409764746	6.37	53.4715609756098	Mauritania population 1578670
134	2.27475461025418	1.87	73.1668292682927	Malta population 318982
135	2.48357556316624	2.532	67.4235853658537	Mauritius population 979133.046359608
136	2.19293562252888	7.146	53.6889024390244	Maldives population 159459
137	3.23900434108513	7.39	44.7113902439025	Malawi population 6403934
138	6.15331850122691	4.509	67.0399512195122	Mexico population 71916281
139	3.84403241113028	3.753	67.7011219512195	Malaysia population 14180093
140	3.72705434406619	6.474	42.8267317073171	Mozambique population 12438624
141	2.49710526600821	6.362	58.2871707317073	Namibia population 1034446
142	2.18307345999723	3.198	66.7024390243903	New Caledonia population 144000
143	3.19913744405172	7.725	39.6613902439024	Niger population 5998722
